Account-number Amount Date Time
ACC0029 +2075 2022-02-15 20:45:03
ACC0025 -6699 2022-02-22 01:41:15
ACC0030 +3768 2022-04-20 15:59:58
ACC0044 -12791 2022-04-11 08:44:58
ACC0034 -11253 2022-03-29 10:33:07
ACC0020 -841 2022-02-21 04:42:09
ACC0017 -623 2022-04-06 10:09:04
ACC0007 +8280 2022-03-08 06:43:08
ACC0027 -10084 2022-03-10 04:52:54
ACC0014 +1334 2022-03-28 00:16:33
ACC0024 -7624 2022-04-14 01:23:03
ACC0011 +8735 2022-03-10 16:19:10
ACC0018 +5812 2022-04-03 06:54:41
ACC0032 -832 2022-03-29 21:46:22
ACC0044 -16958 2022-03-03 14:04:07
ACC0050 -3834 2022-04-28 15:11:05
ACC0001 -288 2022-02-06 13:34:13
ACC0012 -2490 2022-02-26 03:25:04
ACC0013 +9085 2022-03-25 14:30:50
ACC0022 -8475 2022-04-27 10:52:46
ACC0035 +4645 2022-02-14 16:26:31
ACC0031 -2114 2022-03-12 00:28:01
ACC0040 -5315 2022-03-14 10:14:29
ACC0010 -420 2022-04-12 19:53:35
ACC0034 -507 2022-04-28 22:06:16
ACC0003 +4997 2022-04-28 14:20:21
ACC0031 +2317 2022-03-21 06:21:53
ACC0010 +2967 2022-03-11 01:07:46
ACC0023 -10704 2022-03-16 16:19:41
ACC0010 -1505 2022-03-23 17:31:28
ACC0027 -6792 2022-02-16 00:05:32
ACC0014 +502 2022-02-18 18:50:04
ACC0035 +8855 2022-03-20 16:57:56
ACC0001 +8174 2022-02-25 00:52:43
ACC0010 +2250 2022-04-20 11:43:48
ACC0045 -8600 2022-02-21 16:01:19
ACC0018 -555 2022-04-03 05:53:29
ACC0045 +9563 2022-02-28 04:31:58
ACC0040 -431 2022-02-02 07:24:16
ACC0012 -2240 2022-04-24 09:09:39
ACC0024 -1980 2022-04-30 15:10:21
ACC0026 +7051 2022-04-02 09:47:26
ACC0030 -10311 2022-02-24 05:45:44
ACC0045 -21807 2022-04-14 19:00:04
ACC0022 -9590 2022-02-21 05:52:42
ACC0041 -2240 2022-03-04 16:14:52
ACC0009 +7435 2022-04-26 16:07:11
ACC0042 +9316 2022-03-05 01:58:13
ACC0008 +8004 2022-03-09 22:10:04
ACC0025 -2523 2022-02-07 01:11:58
ACC0022 +3593 2022-04-12 07:37:39
ACC0036 +7785 2022-03-16 09:04:23
ACC0020 +2140 2022-04-02 07:15:04
ACC0025 +943 2022-02-11 08:20:50
ACC0009 +7571 2022-02-02 00:09:33
ACC0025 +7605 2022-02-19 21:08:56
ACC0005 -1436 2022-04-25 21:13:12
ACC0007 +807 2022-04-05 04:00:19
ACC0001 +1787 2022-04-06 12:27:03
ACC0031 -1409 2022-02-16 14:37:23
ACC0011 +2106 2022-03-17 16:06:49
ACC0036 -10260 2022-03-02 23:13:52
ACC0026 -4184 2022-03-30 11:24:26
ACC0013 -402 2022-03-17 18:37:48
ACC0001 -312 2022-03-10 13:22:39
ACC0047 -1942 2022-02-17 19:59:44
ACC0042 -10846 2022-02-28 23:24:20
ACC0044 +9456 2022-04-15 12:45:57
ACC0006 -3660 2022-04-12 08:55:46
ACC0016 -123 2022-03-01 00:23:12
ACC0022 +3818 2022-04-17 06:42:45
ACC0009 +1168 2022-02-05 03:20:35
ACC0028 -3891 2022-04-14 11:13:22
ACC0028 -6448 2022-04-11 09:23:30
ACC0035 -688 2022-03-20 10:43:33
ACC0036 +6190 2022-02-19 00:21:55
ACC0029 -2983 2022-03-17 08:31:55
ACC0037 -8251 2022-04-30 11:09:50
ACC0027 +533 2022-02-06 13:45:54
ACC0016 +567 2022-04-30 16:18:00
ACC0027 -9823 2022-04-14 12:30:41
ACC0047 -1688 2022-03-15 09:15:06
ACC0007 -4174 2022-04-01 15:15:30
ACC0016 +3091 2022-04-15 14:28:26
ACC0012 +5903 2022-03-22 13:18:27
ACC0027 +6579 2022-04-04 00:44:11
ACC0039 -3973 2022-03-11 00:03:46
ACC0014 -3439 2022-04-25 04:52:30
ACC0016 +6774 2022-04-24 11:29:15
ACC0042 +7068 2022-03-12 05:48:01
ACC0026 -9572 2022-03-15 01:18:47
ACC0047 -6458 2022-03-13 06:44:31
ACC0021 -327 2022-02-28 05:50:10
ACC0050 -3850 2022-03-01 10:41:00
ACC0037 +4004 2022-02-27 02:37:53
ACC0033 -5118 2022-04-29 11:09:11
ACC0047 -7395 2022-02-23 14:56:31
ACC0018 -16434 2022-04-08 05:04:43
ACC0037 +7451 2022-02-11 10:58:27
ACC0020 -22607 2022-03-23 01:26:31
ACC0015 -2709 2022-03-02 11:48:30
ACC0044 -769 2022-03-03 08:59:29
ACC0044 +6121 2022-04-07 01:50:52
ACC0019 -9496 2022-03-26 22:25:15
ACC0031 +7294 2022-04-22 06:11:37
ACC0038 -2537 2022-03-31 21:33:51
ACC0020 +4302 2022-02-21 09:21:12
ACC0024 +2834 2022-02-26 05:14:12
ACC0004 -678 2022-04-22 16:52:40
ACC0004 +4764 2022-02-27 13:09:25
ACC0043 +7528 2022-02-20 12:36:03
ACC0032 +6761 2022-04-10 09:13:25
ACC0049 -10339 2022-04-02 01:07:16
ACC0019 -493 2022-02-19 00:23:50
ACC0004 -2325 2022-03-08 16:32:03
ACC0010 +2122 2022-02-19 20:27:40
ACC0016 -502 2022-02-28 23:15:09
ACC0018 +7380 2022-03-31 20:31:12
ACC0017 +838 2022-03-03 16:16:55
ACC0035 +1075 2022-04-26 01:07:02
ACC0002 +5272 2022-04-16 22:35:56
ACC0014 +2954 2022-04-11 20:55:28
ACC0036 +8391 2022-04-27 12:25:54
ACC0011 +3484 2022-03-28 07:31:16
ACC0004 -4999 2022-04-30 22:50:39
ACC0001 +4065 2022-02-10 15:53:37
ACC0015 +7142 2022-03-04 13:19:15
ACC0042 +4434 2022-04-24 21:29:09
ACC0025 -6625 2022-03-20 07:52:02
ACC0012 +9391 2022-03-18 15:31:44
ACC0046 +9953 2022-02-04 22:49:35
ACC0038 -8191 2022-03-06 22:02:31
ACC0033 +5180 2022-04-27 23:10:16
ACC0006 -3830 2022-02-04 13:42:31
ACC0007 +4546 2022-04-03 23:16:50
ACC0030 -5143 2022-04-13 07:42:18
ACC0024 -10771 2022-03-25 07:19:06
ACC0020 +6515 2022-02-25 10:04:56
ACC0037 -325 2022-02-09 07:45:51
ACC0044 -1958 2022-04-27 19:47:11
ACC0013 +4731 2022-04-16 12:53:34
ACC0037 +8700 2022-04-16 11:14:06
ACC0012 -2016 2022-02-25 14:01:00
ACC0008 +1629 2022-04-10 22:53:22
ACC0043 -13597 2022-02-28 21:28:17
ACC0024 -1322 2022-02-23 19:59:56
ACC0024 +3389 2022-02-20 14:38:53
ACC0042 +3180 2022-04-21 10:09:53
ACC0035 +282 2022-03-09 19:50:43
ACC0022 -2293 2022-03-05 09:41:08
ACC0020 -1358 2022-04-06 18:59:57
ACC0028 -327 2022-04-20 07:19:57
ACC0028 +9937 2022-02-10 14:38:04
ACC0027 -543 2022-02-05 12:46:11
ACC0017 -9043 2022-03-06 11:08:49
ACC0032 -3527 2022-04-13 21:45:42
ACC0006 +646 2022-04-23 02:58:06
ACC0022 -3049 2022-02-13 12:54:25
ACC0024 +2397 2022-04-26 09:34:48
ACC0036 -2527 2022-03-07 18:13:11
ACC0030 -9169 2022-03-18 17:39:27
ACC0011 +6738 2022-02-22 05:07:26
ACC0032 +676 2022-04-08 01:36:01
ACC0017 -3608 2022-03-07 12:17:31
ACC0009 -119 2022-04-17 15:50:24
ACC0023 +9440 2022-04-19 20:23:19
ACC0020 -239 2022-02-12 18:57:32
ACC0048 -2376 2022-04-09 16:10:19
ACC0007 +949 2022-02-14 18:19:42
ACC0021 +2671 2022-03-29 04:11:20
ACC0044 -117 2022-02-09 19:37:47
ACC0003 +7237 2022-02-01 12:25:46
ACC0018 -9477 2022-04-22 13:49:39
ACC0024 -284 2022-04-23 08:08:24
ACC0049 +1783 2022-03-15 17:21:35
ACC0048 +6153 2022-04-06 04:18:01
ACC0039 +5215 2022-03-12 12:06:19
ACC0021 -5881 2022-03-07 14:24:01
ACC0032 -225 2022-03-23 07:42:25
ACC0021 +1805 2022-04-17 04:42:56
ACC0014 +5328 2022-03-30 20:04:00
ACC0016 +2900 2022-04-21 16:17:20
ACC0050 +5327 2022-03-30 14:55:51
ACC0020 +9431 2022-02-24 15:39:39
ACC0003 -2351 2022-03-16 16:35:42
ACC0032 +9227 2022-04-11 21:14:49
ACC0026 +9628 2022-03-29 20:14:49
ACC0001 -398 2022-03-02 20:49:18
ACC0046 -12753 2022-04-23 16:20:16
ACC0042 +9645 2022-03-20 06:36:12
ACC0045 +4284 2022-02-02 11:41:26
ACC0003 -10764 2022-03-29 19:19:05
ACC0027 -24610 2022-03-30 09:57:22
ACC0025 +4466 2022-03-11 22:38:48
ACC0005 +3224 2022-02-05 03:19:40
ACC0012 +2032 2022-03-25 20:51:16
ACC0031 +6543 2022-04-28 09:26:09
ACC0010 -5964 2022-04-25 00:55:41
ACC0039 +832 2022-03-08 20:44:41
ACC0019 +5334 2022-02-15 22:05:58
ACC0047 +2799 2022-02-21 02:36:02
ACC0014 +156 2022-02-14 06:38:48
ACC0031 -6575 2022-04-08 22:23:29
ACC0021 +8906 2022-03-12 07:16:44
ACC0014 -104 2022-03-28 11:14:37
ACC0036 +1745 2022-04-09 10:24:20
ACC0027 -1826 2022-03-02 05:35:03
ACC0022 +1285 2022-02-13 04:11:59
ACC0007 -7230 2022-03-15 21:46:27
ACC0003 -4442 2022-03-15 13:19:38
ACC0046 +5759 2022-04-26 23:09:48
ACC0015 +8223 2022-02-06 19:20:41
ACC0002 +5181 2022-02-22 20:11:36
ACC0030 -153 2022-02-07 10:56:54
ACC0011 -1842 2022-04-21 13:09:09
ACC0040 +133 2022-04-21 19:28:37
ACC0022 +5710 2022-04-06 02:19:41
ACC0032 +2946 2022-03-28 19:42:31
ACC0045 +8988 2022-03-20 15:02:45
ACC0038 -4880 2022-04-25 16:02:42
ACC0047 +9183 2022-03-26 02:55:57
ACC0042 +4443 2022-02-18 17:07:33
ACC0024 -1797 2022-03-11 13:57:35
ACC0017 -7145 2022-02-17 19:07:17
ACC0008 -309 2022-02-08 07:29:39
ACC0028 +3606 2022-03-31 20:16:18
ACC0012 -5129 2022-02-11 09:55:21
ACC0028 +5737 2022-02-24 01:10:53
ACC0007 +4169 2022-02-14 16:58:33
ACC0006 +7208 2022-02-05 13:22:24
ACC0047 +9862 2022-04-03 19:53:07
ACC0043 -11540 2022-02-13 16:31:42
ACC0006 -2505 2022-04-29 22:31:41
ACC0002 -2584 2022-02-15 08:28:49
ACC0049 +1537 2022-02-24 02:35:52
ACC0036 -3711 2022-02-26 04:38:19
ACC0028 -3634 2022-03-30 05:26:26
ACC0043 +7667 2022-02-13 02:07:53
ACC0046 +7404 2022-02-01 21:29:35
ACC0034 +9718 2022-03-07 05:42:09
ACC0006 -572 2022-04-12 01:44:19
ACC0028 +9609 2022-02-13 23:23:35
ACC0011 -2460 2022-04-24 17:55:33
ACC0027 +535 2022-03-22 20:20:27
ACC0007 +8653 2022-03-04 22:53:58
ACC0028 -679 2022-04-11 07:06:47
ACC0040 +2325 2022-04-08 18:24:32
ACC0021 +379 2022-03-25 22:07:54
ACC0013 -1683 2022-02-20 15:19:12
ACC0004 -1950 2022-04-07 23:35:02
ACC0048 +4792 2022-02-06 00:52:16
ACC0010 +2087 2022-02-23 05:05:50
ACC0038 -10125 2022-04-14 09:18:36
ACC0039 +9791 2022-04-03 18:03:13
ACC0041 -1012 2022-03-12 05:26:14
ACC0017 +568 2022-04-16 16:37:46
ACC0013 +7909 2022-02-28 05:02:36
ACC0008 +5125 2022-02-18 17:30:02
ACC0014 +7317 2022-03-18 13:34:25
ACC0049 -6454 2022-04-25 17:48:45
ACC0018 -292 2022-02-22 20:47:03
ACC0034 -4868 2022-03-03 07:19:50
ACC0023 -3698 2022-02-12 14:11:11
ACC0017 +6725 2022-02-05 10:17:57
ACC0049 +9935 2022-02-25 19:09:25
ACC0031 -6312 2022-02-07 13:11:53
ACC0038 +4436 2022-03-13 05:01:41
ACC0021 -146 2022-04-02 09:04:39
ACC0005 -14092 2022-03-15 23:40:35
ACC0029 -1372 2022-02-10 22:12:55
ACC0021 +2399 2022-04-09 20:27:16
ACC0021 -3106 2022-03-30 03:31:52
ACC0045 +304 2022-04-07 20:10:16
ACC0025 -109 2022-02-07 11:20:00
ACC0042 -2298 2022-02-21 03:00:28
ACC0047 +2934 2022-04-29 22:44:52
ACC0016 +5347 2022-03-03 01:17:44
ACC0012 -2698 2022-03-27 18:51:50
ACC0030 -5715 2022-03-27 15:50:56
ACC0018 -38753 2022-03-27 22:42:01
ACC0005 -15761 2022-04-19 09:33:07
ACC0045 -2396 2022-03-05 16:26:11
ACC0008 -4064 2022-04-20 12:54:48
ACC0030 +7934 2022-02-27 09:56:35
ACC0009 +3361 2022-04-15 03:42:06
ACC0044 +3631 2022-04-13 07:36:49
ACC0029 +4363 2022-02-03 10:50:59
ACC0003 +8092 2022-03-14 08:56:55
ACC0039 -135 2022-04-15 02:32:21
ACC0011 -1341 2022-03-22 07:54:18
ACC0024 +1556 2022-03-30 13:44:04
ACC0025 -1047 2022-04-24 08:05:18
ACC0050 -931 2022-03-06 02:25:36
ACC0008 -717 2022-03-01 16:16:01
ACC0004 +646 2022-04-28 02:22:21
ACC0011 -1697 2022-02-18 01:11:27
ACC0024 -1014 2022-02-18 20:02:21
ACC0015 +5539 2022-03-12 04:08:46
ACC0002 +1314 2022-04-04 03:39:20
ACC0022 +6958 2022-03-08 22:36:55
ACC0012 -6509 2022-02-14 09:55:59
ACC0035 +1243 2022-04-24 06:42:38
ACC0017 -2117 2022-02-20 13:07:23
ACC0029 +5639 2022-04-18 04:01:32
ACC0044 +311 2022-03-03 18:53:15
ACC0030 -11878 2022-02-27 19:33:27
ACC0026 +3675 2022-03-20 12:58:36
ACC0011 -10002 2022-04-06 11:44:06
ACC0019 +4640 2022-04-21 10:15:51
ACC0025 -2648 2022-02-21 00:37:27
ACC0050 +1242 2022-03-21 15:49:00
ACC0034 +2404 2022-04-26 16:31:09
ACC0013 +2274 2022-04-11 23:50:43
ACC0013 +1382 2022-03-12 03:08:42
ACC0035 +9433 2022-02-05 03:13:38
ACC0033 +5165 2022-02-16 00:47:17
ACC0020 +2177 2022-04-03 16:54:31
ACC0046 -7927 2022-04-28 18:07:25
ACC0049 -14799 2022-02-16 12:11:10
ACC0030 -534 2022-03-23 05:26:54
ACC0017 -5396 2022-02-08 07:49:31
ACC0007 +3326 2022-02-26 10:52:27
ACC0030 -3937 2022-04-09 16:19:11
ACC0005 +8391 2022-04-25 05:12:21
ACC0033 -5978 2022-02-16 04:24:43
ACC0050 -1343 2022-02-28 22:22:36
ACC0001 +9937 2022-04-04 14:30:52
ACC0003 -5370 2022-04-22 01:07:38
ACC0038 +7290 2022-03-31 18:37:56
ACC0037 +9104 2022-04-14 07:34:43
ACC0011 -30226 2022-03-19 23:21:52
ACC0022 +4072 2022-04-11 12:58:19
ACC0013 +5922 2022-03-13 15:26:37
ACC0009 -3311 2022-03-13 08:51:38
ACC0024 -602 2022-02-15 23:44:58
ACC0030 +8213 2022-03-14 12:59:41
ACC0008 +346 2022-03-21 12:58:35
ACC0001 -9151 2022-04-11 18:35:40
ACC0028 +9581 2022-02-28 09:51:49
ACC0047 -3302 2022-02-16 20:01:13
ACC0031 -9058 2022-02-26 02:34:53
ACC0011 -4265 2022-02-21 06:06:47
ACC0042 -2312 2022-03-26 15:51:55
ACC0039 -1026 2022-04-22 15:03:21
ACC0048 +517 2022-03-17 17:08:01
ACC0025 -1710 2022-04-30 21:56:59
ACC0049 -5991 2022-04-16 22:17:37
ACC0002 -3734 2022-04-17 20:58:38
ACC0020 -12400 2022-03-01 16:25:26
ACC0037 -4260 2022-02-20 23:38:17
ACC0034 -1480 2022-04-09 05:31:49
ACC0021 -615 2022-03-10 02:37:47
ACC0010 -7136 2022-02-12 15:53:58
ACC0023 +9121 2022-02-21 01:48:06
ACC0026 +5719 2022-03-04 03:55:07
ACC0023 -936 2022-04-17 18:41:43
ACC0008 -2521 2022-04-25 14:43:50
ACC0037 +7401 2022-04-06 01:27:02
ACC0002 -8937 2022-04-08 13:02:01
ACC0027 +2670 2022-02-16 02:32:41
ACC0024 +5870 2022-03-23 23:13:06
ACC0050 -5648 2022-02-08 11:53:49
ACC0039 +7916 2022-03-24 22:56:08
ACC0036 -117 2022-02-07 07:00:23
ACC0040 -6184 2022-04-18 04:19:35
ACC0020 +4575 2022-02-27 20:25:52
ACC0015 +1969 2022-04-06 19:31:49
ACC0004 -1895 2022-02-25 10:04:20
ACC0016 -8331 2022-03-23 20:53:04
ACC0019 -5245 2022-02-28 23:04:45
ACC0041 -1570 2022-04-23 06:27:25
ACC0026 +9301 2022-04-29 14:28:47
ACC0005 -140 2022-03-01 03:34:34
ACC0030 +507 2022-04-17 15:27:08
ACC0005 -441 2022-02-01 18:33:20
ACC0006 +4390 2022-02-28 07:04:43
ACC0033 +5865 2022-04-13 17:05:28
ACC0026 -1726 2022-02-04 13:03:05
ACC0011 -895 2022-03-27 03:00:48
ACC0043 -4242 2022-03-10 02:44:38
ACC0019 +6699 2022-03-23 04:00:05
ACC0033 -433 2022-04-07 10:35:21
ACC0049 +7909 2022-03-14 20:33:01
ACC0029 +7581 2022-03-11 21:08:35
ACC0032 -1748 2022-02-28 01:25:24
ACC0039 -14778 2022-02-11 04:55:00
ACC0029 -7507 2022-03-10 13:25:32
ACC0001 +9855 2022-03-05 12:54:12
ACC0023 -3511 2022-03-10 01:32:43
ACC0048 +1442 2022-04-18 10:43:57
ACC0031 +5441 2022-03-19 09:54:40
ACC0025 -6594 2022-02-03 07:07:11
ACC0032 +4097 2022-02-07 08:58:38
ACC0026 -45856 2022-04-24 18:10:46
ACC0046 +3469 2022-04-28 10:39:14
ACC0014 -139 2022-02-08 19:43:38
