Account-number Amount Date Time
ACC00008 +555 2022-04-10 21:02:57
ACC00029 -458 2022-03-24 04:21:17
ACC00005 +3036 2022-02-25 01:56:24
ACC00018 +858 2022-03-03 01:17:23
ACC00023 -397 2022-02-18 01:58:14
ACC00022 -7938 2022-03-16 19:35:27
ACC00008 -240 2022-04-09 16:04:38
ACC00001 +904 2022-03-29 02:34:52
ACC00019 +8655 2022-03-26 22:17:44
ACC00014 -374 2022-02-18 22:33:12
ACC00047 -9504 2022-03-01 13:40:45
ACC00001 -4990 2022-04-25 09:08:13
ACC00042 -22533 2022-04-20 14:10:34
ACC00009 +7468 2022-02-13 09:23:18
ACC00023 -4601 2022-02-11 21:57:07
ACC00032 +971 2022-02-15 05:34:07
ACC00027 -1515 2022-04-25 17:51:07
ACC00031 -447 2022-03-20 18:19:19
ACC00013 +4645 2022-04-06 07:17:50
ACC00024 -4495 2022-04-29 21:27:06
ACC00029 -7745 2022-04-14 22:44:33
ACC00041 +5057 2022-02-16 15:18:42
ACC00038 +6770 2022-04-17 02:59:30
ACC00021 +2700 2022-04-02 12:48:41
ACC00031 +7461 2022-04-23 10:27:05
ACC00007 +4338 2022-02-05 14:54:30
ACC00039 -13447 2022-03-23 14:54:45
ACC00021 +7984 2022-04-02 11:26:35
ACC00002 +7365 2022-03-10 22:32:50
ACC00012 +8945 2022-04-22 18:23:11
ACC00010 -931 2022-02-15 07:17:49
ACC00050 -2747 2022-03-11 00:18:32
ACC00023 +9166 2022-02-08 20:28:23
ACC00013 -1554 2022-04-02 13:31:45
ACC00029 +6258 2022-02-28 22:11:07
ACC00015 -8376 2022-03-25 19:33:43
ACC00023 -2424 2022-04-04 08:19:18
ACC00003 +6751 2022-03-17 03:40:37
ACC00048 -4826 2022-02-17 00:22:22
ACC00030 -2548 2022-04-23 05:13:25
ACC00042 +3927 2022-04-15 09:24:55
ACC00018 +9170 2022-02-21 10:15:05
ACC00021 +1050 2022-02-06 13:54:29
ACC00046 +1707 2022-02-28 23:19:23
ACC00048 +6547 2022-03-08 05:31:41
ACC00018 +3614 2022-04-08 21:23:01
ACC00014 -198 2022-02-17 07:12:19
ACC00012 -3599 2022-04-21 13:18:05
ACC00041 -1159 2022-02-13 02:45:55
ACC00007 -33683 2022-03-13 21:41:11
ACC00012 +8756 2022-04-29 03:15:02
ACC00034 -101 2022-04-25 05:59:28
ACC00036 +8559 2022-02-27 01:38:00
ACC00026 -2076 2022-04-27 21:20:05
ACC00031 +3231 2022-04-15 05:11:08
ACC00013 +7825 2022-04-24 18:34:46
ACC00024 -2130 2022-04-20 12:52:05
ACC00006 +9310 2022-02-25 15:34:59
ACC00029 -2882 2022-02-04 11:17:15
ACC00047 -3391 2022-03-03 09:14:06
ACC00026 +3548 2022-02-20 19:07:54
ACC00046 -235 2022-04-23 03:55:26
ACC00027 +9827 2022-02-16 22:24:00
ACC00041 -2107 2022-02-08 23:29:31
ACC00035 +6071 2022-04-16 21:39:43
ACC00010 -5232 2022-04-29 13:18:06
ACC00013 +8429 2022-03-30 16:37:39
ACC00014 +913 2022-04-04 18:17:37
ACC00034 -7313 2022-03-08 09:42:46
ACC00046 +2998 2022-03-18 06:29:53
ACC00010 -107 2022-03-13 23:40:40
ACC00046 +9673 2022-02-18 22:10:47
ACC00029 -6323 2022-03-24 19:06:43
ACC00033 -118 2022-03-28 15:46:59
ACC00023 -792 2022-04-17 22:28:20
ACC00007 +6739 2022-03-03 19:46:59
ACC00036 -221 2022-04-02 13:39:49
ACC00010 +412 2022-04-28 03:26:10
ACC00045 -6672 2022-02-21 03:05:57
ACC00022 +8386 2022-03-05 15:22:02
ACC00043 +5685 2022-04-12 05:38:48
ACC00011 +2765 2022-03-07 09:37:26
ACC00048 +4676 2022-03-19 14:00:43
ACC00028 -5044 2022-02-24 03:03:28
ACC00012 -12781 2022-03-16 01:45:15
ACC00041 +3335 2022-02-07 20:45:03
ACC00027 +9229 2022-03-05 17:35:16
ACC00010 -5987 2022-02-25 22:21:14
ACC00050 -333 2022-04-09 01:17:33
ACC00022 -4616 2022-03-03 21:06:13
ACC00004 +574 2022-04-25 13:14:01
ACC00043 +9391 2022-03-27 14:05:01
ACC00006 -3854 2022-03-07 17:53:44
ACC00012 -102 2022-04-18 03:08:54
ACC00009 +1134 2022-03-16 13:32:09
ACC00029 -2233 2022-04-19 07:39:04
ACC00015 +2735 2022-04-27 08:34:19
ACC00012 -315 2022-03-17 05:16:13
ACC00012 +9537 2022-02-10 01:17:20
ACC00027 +1720 2022-04-05 02:08:06
ACC00002 -5924 2022-03-19 09:29:04
ACC00004 -13177 2022-02-26 21:46:34
ACC00025 +9348 2022-02-07 23:15:28
ACC00020 +9304 2022-04-08 02:08:21
ACC00003 +8170 2022-03-17 15:21:16
ACC00032 -1907 2022-03-29 15:01:36
ACC00020 -623 2022-04-21 18:35:06
ACC00021 -621 2022-04-01 18:19:35
ACC00050 +5799 2022-02-20 15:19:52
ACC00009 +1251 2022-02-12 05:41:43
ACC00049 -468 2022-02-02 12:44:41
ACC00007 +1433 2022-04-13 02:22:05
ACC00024 -2829 2022-02-11 23:32:19
ACC00024 -472 2022-04-10 10:58:02
ACC00019 +6462 2022-02-13 05:36:01
ACC00010 -124 2022-04-13 04:45:40
ACC00036 +8049 2022-03-21 17:47:55
ACC00036 +3938 2022-02-10 04:59:43
ACC00022 +6728 2022-02-20 23:49:47
ACC00006 +5201 2022-02-17 05:43:35
ACC00004 -4505 2022-03-31 11:54:03
ACC00016 +4269 2022-02-15 19:53:51
ACC00003 -13304 2022-04-22 02:18:11
ACC00015 -5076 2022-04-11 13:47:51
ACC00022 +4758 2022-02-09 02:05:45
ACC00020 -256 2022-02-07 23:51:35
ACC00031 -1296 2022-03-08 17:13:17
ACC00023 +956 2022-03-08 02:37:02
ACC00008 +135 2022-02-10 11:14:21
ACC00020 -4487 2022-04-25 16:29:29
ACC00040 -1396 2022-03-05 00:37:50
ACC00046 -29568 2022-03-06 06:31:55
ACC00002 -3751 2022-04-26 15:04:19
ACC00045 -10175 2022-02-26 18:54:29
ACC00001 +8140 2022-02-16 21:06:10
ACC00028 -2102 2022-02-15 08:35:37
ACC00012 -135 2022-02-22 01:16:00
ACC00041 -562 2022-04-29 19:57:11
ACC00005 +9806 2022-03-09 00:47:59
ACC00013 -4087 2022-04-12 15:23:31
ACC00025 -10994 2022-04-24 07:53:10
ACC00029 +7385 2022-04-21 03:33:20
ACC00026 +5282 2022-02-25 10:51:16
ACC00026 +7642 2022-02-01 21:26:48
ACC00017 +8362 2022-04-10 17:24:26
ACC00047 +3457 2022-04-01 01:14:45
ACC00021 +1445 2022-03-09 01:00:12
ACC00036 -158 2022-04-23 10:16:09
ACC00042 +3826 2022-02-20 05:24:52
ACC00012 +6779 2022-03-09 16:29:12
ACC00028 +6512 2022-04-17 09:04:57
ACC00001 +119 2022-03-09 14:11:22
ACC00015 -953 2022-03-24 00:24:53
ACC00036 +5935 2022-02-27 09:23:50
ACC00005 -1257 2022-02-20 17:31:18
ACC00011 +2748 2022-03-13 06:14:25
ACC00013 +5618 2022-04-01 19:09:30
ACC00034 +1144 2022-02-13 09:41:30
ACC00029 -1338 2022-03-28 15:44:25
ACC00004 +740 2022-02-28 07:43:51
ACC00029 +2075 2022-02-15 20:45:03
ACC00025 -6699 2022-02-22 01:41:15
ACC00030 +3768 2022-04-20 15:59:58
ACC00044 -12791 2022-04-11 08:44:58
ACC00034 -11253 2022-03-29 10:33:07
ACC00020 -841 2022-02-21 04:42:09
ACC00017 -623 2022-04-06 10:09:04
ACC00007 +8280 2022-03-08 06:43:08
ACC00027 -10084 2022-03-10 04:52:54
ACC00014 +1334 2022-03-28 00:16:33
ACC00024 -7624 2022-04-14 01:23:03
ACC00011 +8735 2022-03-10 16:19:10
ACC00018 +5812 2022-04-03 06:54:41
ACC00032 -832 2022-03-29 21:46:22
ACC00044 -16958 2022-03-03 14:04:07
ACC00050 -3834 2022-04-28 15:11:05
ACC00001 -288 2022-02-06 13:34:13
ACC00012 -2490 2022-02-26 03:25:04
ACC00013 +9085 2022-03-25 14:30:50
ACC00022 -8475 2022-04-27 10:52:46
ACC00035 +4645 2022-02-14 16:26:31
ACC00031 -2114 2022-03-12 00:28:01
ACC00040 -5315 2022-03-14 10:14:29
ACC00010 -420 2022-04-12 19:53:35
ACC00034 -507 2022-04-28 22:06:16
ACC00003 +4997 2022-04-28 14:20:21
ACC00031 +2317 2022-03-21 06:21:53
ACC00010 +2967 2022-03-11 01:07:46
ACC00023 -10704 2022-03-16 16:19:41
ACC00010 -1505 2022-03-23 17:31:28
ACC00027 -6792 2022-02-16 00:05:32
ACC00014 +502 2022-02-18 18:50:04
ACC00035 +8855 2022-03-20 16:57:56
ACC00001 +8174 2022-02-25 00:52:43
ACC00010 +2250 2022-04-20 11:43:48
ACC00045 -8600 2022-02-21 16:01:19
ACC00018 -555 2022-04-03 05:53:29
ACC00045 +9563 2022-02-28 04:31:58
ACC00040 -431 2022-02-02 07:24:16
ACC00012 -2240 2022-04-24 09:09:39
ACC00024 -1980 2022-04-30 15:10:21
ACC00026 +7051 2022-04-02 09:47:26
ACC00030 -10311 2022-02-24 05:45:44
ACC00045 -21807 2022-04-14 19:00:04
ACC00022 -9590 2022-02-21 05:52:42
ACC00041 -2240 2022-03-04 16:14:52
ACC00009 +7435 2022-04-26 16:07:11
ACC00042 +9316 2022-03-05 01:58:13
ACC00008 +8004 2022-03-09 22:10:04
ACC00025 -2523 2022-02-07 01:11:58
ACC00022 +3593 2022-04-12 07:37:39
ACC00036 +7785 2022-03-16 09:04:23
ACC00020 +2140 2022-04-02 07:15:04
ACC00025 +943 2022-02-11 08:20:50
ACC00009 +7571 2022-02-02 00:09:33
ACC00025 +7605 2022-02-19 21:08:56
ACC00005 -1436 2022-04-25 21:13:12
ACC00007 +807 2022-04-05 04:00:19
ACC00001 +1787 2022-04-06 12:27:03
ACC00031 -1409 2022-02-16 14:37:23
ACC00011 +2106 2022-03-17 16:06:49
ACC00036 -10260 2022-03-02 23:13:52
ACC00026 -4184 2022-03-30 11:24:26
ACC00013 -402 2022-03-17 18:37:48
ACC00001 -312 2022-03-10 13:22:39
ACC00047 -1942 2022-02-17 19:59:44
ACC00042 -10846 2022-02-28 23:24:20
ACC00044 +9456 2022-04-15 12:45:57
ACC00006 -3660 2022-04-12 08:55:46
ACC00016 -123 2022-03-01 00:23:12
ACC00022 +3818 2022-04-17 06:42:45
ACC00009 +1168 2022-02-05 03:20:35
ACC00028 -3891 2022-04-14 11:13:22
ACC00028 -6448 2022-04-11 09:23:30
ACC00035 -688 2022-03-20 10:43:33
ACC00036 +6190 2022-02-19 00:21:55
ACC00029 -2983 2022-03-17 08:31:55
ACC00037 -8251 2022-04-30 11:09:50
ACC00027 +533 2022-02-06 13:45:54
ACC00016 +567 2022-04-30 16:18:00
ACC00027 -9823 2022-04-14 12:30:41
ACC00047 -1688 2022-03-15 09:15:06
ACC00007 -4174 2022-04-01 15:15:30
ACC00016 +3091 2022-04-15 14:28:26
ACC00012 +5903 2022-03-22 13:18:27
ACC00027 +6579 2022-04-04 00:44:11
ACC00039 -3973 2022-03-11 00:03:46
ACC00014 -3439 2022-04-25 04:52:30
ACC00016 +6774 2022-04-24 11:29:15
ACC00042 +7068 2022-03-12 05:48:01
ACC00026 -9572 2022-03-15 01:18:47
ACC00047 -6458 2022-03-13 06:44:31
ACC00021 -327 2022-02-28 05:50:10
ACC00050 -3850 2022-03-01 10:41:00
ACC00037 +4004 2022-02-27 02:37:53
ACC00033 -5118 2022-04-29 11:09:11
ACC00047 -7395 2022-02-23 14:56:31
ACC00018 -16434 2022-04-08 05:04:43
ACC00037 +7451 2022-02-11 10:58:27
ACC00020 -22607 2022-03-23 01:26:31
ACC00015 -2709 2022-03-02 11:48:30
ACC00044 -769 2022-03-03 08:59:29
ACC00044 +6121 2022-04-07 01:50:52
ACC00019 -9496 2022-03-26 22:25:15
ACC00031 +7294 2022-04-22 06:11:37
ACC00038 -2537 2022-03-31 21:33:51
ACC00020 +4302 2022-02-21 09:21:12
ACC00024 +2834 2022-02-26 05:14:12
ACC00004 -678 2022-04-22 16:52:40
ACC00004 +4764 2022-02-27 13:09:25
ACC00043 +7528 2022-02-20 12:36:03
ACC00032 +6761 2022-04-10 09:13:25
ACC00049 -10339 2022-04-02 01:07:16
ACC00019 -493 2022-02-19 00:23:50
ACC00004 -2325 2022-03-08 16:32:03
ACC00010 +2122 2022-02-19 20:27:40
ACC00016 -502 2022-02-28 23:15:09
ACC00018 +7380 2022-03-31 20:31:12
ACC00017 +838 2022-03-03 16:16:55
ACC00035 +1075 2022-04-26 01:07:02
ACC00002 +5272 2022-04-16 22:35:56
ACC00014 +2954 2022-04-11 20:55:28
ACC00036 +8391 2022-04-27 12:25:54
ACC00011 +3484 2022-03-28 07:31:16
ACC00004 -4999 2022-04-30 22:50:39
ACC00001 +4065 2022-02-10 15:53:37
ACC00015 +7142 2022-03-04 13:19:15
ACC00042 +4434 2022-04-24 21:29:09
ACC00025 -6625 2022-03-20 07:52:02
ACC00012 +9391 2022-03-18 15:31:44
ACC00046 +9953 2022-02-04 22:49:35
ACC00038 -8191 2022-03-06 22:02:31
ACC00033 +5180 2022-04-27 23:10:16
ACC00006 -3830 2022-02-04 13:42:31
ACC00007 +4546 2022-04-03 23:16:50
ACC00030 -5143 2022-04-13 07:42:18
ACC00024 -10771 2022-03-25 07:19:06
ACC00020 +6515 2022-02-25 10:04:56
ACC00037 -325 2022-02-09 07:45:51
ACC00044 -1958 2022-04-27 19:47:11
ACC00013 +4731 2022-04-16 12:53:34
ACC00037 +8700 2022-04-16 11:14:06
ACC00012 -2016 2022-02-25 14:01:00
ACC00008 +1629 2022-04-10 22:53:22
ACC00043 -13597 2022-02-28 21:28:17
ACC00024 -1322 2022-02-23 19:59:56
ACC00024 +3389 2022-02-20 14:38:53
ACC00042 +3180 2022-04-21 10:09:53
ACC00035 +282 2022-03-09 19:50:43
ACC00022 -2293 2022-03-05 09:41:08
ACC00020 -1358 2022-04-06 18:59:57
ACC00028 -327 2022-04-20 07:19:57
ACC00028 +9937 2022-02-10 14:38:04
ACC00027 -543 2022-02-05 12:46:11
ACC00017 -9043 2022-03-06 11:08:49
ACC00032 -3527 2022-04-13 21:45:42
ACC00006 +646 2022-04-23 02:58:06
ACC00022 -3049 2022-02-13 12:54:25
ACC00024 +2397 2022-04-26 09:34:48
ACC00036 -2527 2022-03-07 18:13:11
ACC00030 -9169 2022-03-18 17:39:27
ACC00011 +6738 2022-02-22 05:07:26
ACC00032 +676 2022-04-08 01:36:01
ACC00017 -3608 2022-03-07 12:17:31
ACC00009 -119 2022-04-17 15:50:24
ACC00023 +9440 2022-04-19 20:23:19
ACC00020 -239 2022-02-12 18:57:32
ACC00048 -2376 2022-04-09 16:10:19
ACC00007 +949 2022-02-14 18:19:42
ACC00021 +2671 2022-03-29 04:11:20
ACC00044 -117 2022-02-09 19:37:47
ACC00003 +7237 2022-02-01 12:25:46
ACC00018 -9477 2022-04-22 13:49:39
ACC00024 -284 2022-04-23 08:08:24
ACC00049 +1783 2022-03-15 17:21:35
ACC00048 +6153 2022-04-06 04:18:01
ACC00039 +5215 2022-03-12 12:06:19
ACC00021 -5881 2022-03-07 14:24:01
ACC00032 -225 2022-03-23 07:42:25
ACC00021 +1805 2022-04-17 04:42:56
ACC00014 +5328 2022-03-30 20:04:00
ACC00016 +2900 2022-04-21 16:17:20
ACC00050 +5327 2022-03-30 14:55:51
ACC00020 +9431 2022-02-24 15:39:39
ACC00003 -2351 2022-03-16 16:35:42
ACC00032 +9227 2022-04-11 21:14:49
ACC00026 +9628 2022-03-29 20:14:49
ACC00001 -398 2022-03-02 20:49:18
ACC00046 -12753 2022-04-23 16:20:16
ACC00042 +9645 2022-03-20 06:36:12
ACC00045 +4284 2022-02-02 11:41:26
ACC00003 -10764 2022-03-29 19:19:05
ACC00027 -24610 2022-03-30 09:57:22
ACC00025 +4466 2022-03-11 22:38:48
ACC00005 +3224 2022-02-05 03:19:40
ACC00012 +2032 2022-03-25 20:51:16
ACC00031 +6543 2022-04-28 09:26:09
ACC00010 -5964 2022-04-25 00:55:41
ACC00039 +832 2022-03-08 20:44:41
ACC00019 +5334 2022-02-15 22:05:58
ACC00047 +2799 2022-02-21 02:36:02
ACC00014 +156 2022-02-14 06:38:48
ACC00031 -6575 2022-04-08 22:23:29
ACC00021 +8906 2022-03-12 07:16:44
ACC00014 -104 2022-03-28 11:14:37
ACC00036 +1745 2022-04-09 10:24:20
ACC00027 -1826 2022-03-02 05:35:03
ACC00022 +1285 2022-02-13 04:11:59
ACC00007 -7230 2022-03-15 21:46:27
ACC00003 -4442 2022-03-15 13:19:38
ACC00046 +5759 2022-04-26 23:09:48
ACC00015 +8223 2022-02-06 19:20:41
ACC00002 +5181 2022-02-22 20:11:36
ACC00030 -153 2022-02-07 10:56:54
ACC00011 -1842 2022-04-21 13:09:09
ACC00040 +133 2022-04-21 19:28:37
ACC00022 +5710 2022-04-06 02:19:41
ACC00032 +2946 2022-03-28 19:42:31
ACC00045 +8988 2022-03-20 15:02:45
ACC00038 -4880 2022-04-25 16:02:42
ACC00047 +9183 2022-03-26 02:55:57
ACC00042 +4443 2022-02-18 17:07:33
ACC00024 -1797 2022-03-11 13:57:35
ACC00017 -7145 2022-02-17 19:07:17
ACC00008 -309 2022-02-08 07:29:39
ACC00028 +3606 2022-03-31 20:16:18
ACC00012 -5129 2022-02-11 09:55:21
ACC00028 +5737 2022-02-24 01:10:53
ACC00007 +4169 2022-02-14 16:58:33
ACC00006 +7208 2022-02-05 13:22:24
ACC00047 +9862 2022-04-03 19:53:07
ACC00043 -11540 2022-02-13 16:31:42
ACC00006 -2505 2022-04-29 22:31:41
ACC00002 -2584 2022-02-15 08:28:49
ACC00049 +1537 2022-02-24 02:35:52
ACC00036 -3711 2022-02-26 04:38:19
ACC00028 -3634 2022-03-30 05:26:26
ACC00043 +7667 2022-02-13 02:07:53
ACC00046 +7404 2022-02-01 21:29:35
ACC00034 +9718 2022-03-07 05:42:09
ACC00006 -572 2022-04-12 01:44:19
ACC00028 +9609 2022-02-13 23:23:35
ACC00011 -2460 2022-04-24 17:55:33
ACC00027 +535 2022-03-22 20:20:27
ACC00007 +8653 2022-03-04 22:53:58
ACC00028 -679 2022-04-11 07:06:47
ACC00040 +2325 2022-04-08 18:24:32
ACC00021 +379 2022-03-25 22:07:54
ACC00013 -1683 2022-02-20 15:19:12
ACC00004 -1950 2022-04-07 23:35:02
ACC00048 +4792 2022-02-06 00:52:16
ACC00010 +2087 2022-02-23 05:05:50
ACC00038 -10125 2022-04-14 09:18:36
ACC00039 +9791 2022-04-03 18:03:13
ACC00041 -1012 2022-03-12 05:26:14
ACC00017 +568 2022-04-16 16:37:46
ACC00013 +7909 2022-02-28 05:02:36
ACC00008 +5125 2022-02-18 17:30:02
ACC00014 +7317 2022-03-18 13:34:25
ACC00049 -6454 2022-04-25 17:48:45
ACC00018 -292 2022-02-22 20:47:03
ACC00034 -4868 2022-03-03 07:19:50
ACC00023 -3698 2022-02-12 14:11:11
ACC00017 +6725 2022-02-05 10:17:57
ACC00049 +9935 2022-02-25 19:09:25
ACC00031 -6312 2022-02-07 13:11:53
ACC00038 +4436 2022-03-13 05:01:41
ACC00021 -146 2022-04-02 09:04:39
ACC00005 -14092 2022-03-15 23:40:35
ACC00029 -1372 2022-02-10 22:12:55
ACC00021 +2399 2022-04-09 20:27:16
ACC00021 -3106 2022-03-30 03:31:52
ACC00045 +304 2022-04-07 20:10:16
ACC00025 -109 2022-02-07 11:20:00
ACC00042 -2298 2022-02-21 03:00:28
ACC00047 +2934 2022-04-29 22:44:52
ACC00016 +5347 2022-03-03 01:17:44
ACC00012 -2698 2022-03-27 18:51:50
ACC00030 -5715 2022-03-27 15:50:56
ACC00018 -38753 2022-03-27 22:42:01
ACC00005 -15761 2022-04-19 09:33:07
ACC00045 -2396 2022-03-05 16:26:11
ACC00008 -4064 2022-04-20 12:54:48
ACC00030 +7934 2022-02-27 09:56:35
ACC00009 +3361 2022-04-15 03:42:06
ACC00044 +3631 2022-04-13 07:36:49
ACC00029 +4363 2022-02-03 10:50:59
ACC00003 +8092 2022-03-14 08:56:55
ACC00039 -135 2022-04-15 02:32:21
ACC00011 -1341 2022-03-22 07:54:18
ACC00024 +1556 2022-03-30 13:44:04
ACC00025 -1047 2022-04-24 08:05:18
ACC00050 -931 2022-03-06 02:25:36
ACC00008 -717 2022-03-01 16:16:01
ACC00004 +646 2022-04-28 02:22:21
ACC00011 -1697 2022-02-18 01:11:27
ACC00024 -1014 2022-02-18 20:02:21
ACC00015 +5539 2022-03-12 04:08:46
ACC00002 +1314 2022-04-04 03:39:20
ACC00022 +6958 2022-03-08 22:36:55
ACC00012 -6509 2022-02-14 09:55:59
ACC00035 +1243 2022-04-24 06:42:38
ACC00017 -2117 2022-02-20 13:07:23
ACC00029 +5639 2022-04-18 04:01:32
ACC00044 +311 2022-03-03 18:53:15
ACC00030 -11878 2022-02-27 19:33:27
ACC00026 +3675 2022-03-20 12:58:36
ACC00011 -10002 2022-04-06 11:44:06
ACC00019 +4640 2022-04-21 10:15:51
ACC00025 -2648 2022-02-21 00:37:27
ACC00050 +1242 2022-03-21 15:49:00
ACC00034 +2404 2022-04-26 16:31:09
ACC00013 +2274 2022-04-11 23:50:43
ACC00013 +1382 2022-03-12 03:08:42
ACC00035 +9433 2022-02-05 03:13:38
ACC00033 +5165 2022-02-16 00:47:17
ACC00020 +2177 2022-04-03 16:54:31
ACC00046 -7927 2022-04-28 18:07:25
ACC00049 -14799 2022-02-16 12:11:10
ACC00030 -534 2022-03-23 05:26:54
ACC00017 -5396 2022-02-08 07:49:31
ACC00007 +3326 2022-02-26 10:52:27
ACC00030 -3937 2022-04-09 16:19:11
ACC00005 +8391 2022-04-25 05:12:21
ACC00033 -5978 2022-02-16 04:24:43
ACC00050 -1343 2022-02-28 22:22:36
ACC00001 +9937 2022-04-04 14:30:52
ACC00003 -5370 2022-04-22 01:07:38
ACC00038 +7290 2022-03-31 18:37:56
ACC00037 +9104 2022-04-14 07:34:43
ACC00011 -30226 2022-03-19 23:21:52
ACC00022 +4072 2022-04-11 12:58:19
ACC00013 +5922 2022-03-13 15:26:37
ACC00009 -3311 2022-03-13 08:51:38
ACC00024 -602 2022-02-15 23:44:58
ACC00030 +8213 2022-03-14 12:59:41
ACC00008 +346 2022-03-21 12:58:35
ACC00001 -9151 2022-04-11 18:35:40
ACC00028 +9581 2022-02-28 09:51:49
ACC00047 -3302 2022-02-16 20:01:13
ACC00031 -9058 2022-02-26 02:34:53
ACC00011 -4265 2022-02-21 06:06:47
ACC00042 -2312 2022-03-26 15:51:55
ACC00039 -1026 2022-04-22 15:03:21
ACC00048 +517 2022-03-17 17:08:01
ACC00025 -1710 2022-04-30 21:56:59
ACC00049 -5991 2022-04-16 22:17:37
ACC00002 -3734 2022-04-17 20:58:38
ACC00020 -12400 2022-03-01 16:25:26
ACC00037 -4260 2022-02-20 23:38:17
ACC00034 -1480 2022-04-09 05:31:49
ACC00021 -615 2022-03-10 02:37:47
ACC00010 -7136 2022-02-12 15:53:58
ACC00023 +9121 2022-02-21 01:48:06
ACC00026 +5719 2022-03-04 03:55:07
ACC00023 -936 2022-04-17 18:41:43
ACC00008 -2521 2022-04-25 14:43:50
ACC00037 +7401 2022-04-06 01:27:02
ACC00002 -8937 2022-04-08 13:02:01
ACC00027 +2670 2022-02-16 02:32:41
ACC00024 +5870 2022-03-23 23:13:06
ACC00050 -5648 2022-02-08 11:53:49
ACC00039 +7916 2022-03-24 22:56:08
ACC00036 -117 2022-02-07 07:00:23
ACC00040 -6184 2022-04-18 04:19:35
ACC00020 +4575 2022-02-27 20:25:52
ACC00015 +1969 2022-04-06 19:31:49
ACC00004 -1895 2022-02-25 10:04:20
ACC00016 -8331 2022-03-23 20:53:04
ACC00019 -5245 2022-02-28 23:04:45
ACC00041 -1570 2022-04-23 06:27:25
ACC00026 +9301 2022-04-29 14:28:47
ACC00005 -140 2022-03-01 03:34:34
ACC00030 +507 2022-04-17 15:27:08
ACC00005 -441 2022-02-01 18:33:20
ACC00006 +4390 2022-02-28 07:04:43
ACC00033 +5865 2022-04-13 17:05:28
ACC00026 -1726 2022-02-04 13:03:05
ACC00011 -895 2022-03-27 03:00:48
ACC00043 -4242 2022-03-10 02:44:38
ACC00019 +6699 2022-03-23 04:00:05
ACC00033 -433 2022-04-07 10:35:21
ACC00049 +7909 2022-03-14 20:33:01
ACC00029 +7581 2022-03-11 21:08:35
ACC00032 -1748 2022-02-28 01:25:24
ACC00039 -14778 2022-02-11 04:55:00
ACC00029 -7507 2022-03-10 13:25:32
ACC00001 +9855 2022-03-05 12:54:12
ACC00023 -3511 2022-03-10 01:32:43
ACC00048 +1442 2022-04-18 10:43:57
ACC00031 +5441 2022-03-19 09:54:40
ACC00025 -6594 2022-02-03 07:07:11
ACC00032 +4097 2022-02-07 08:58:38
ACC00026 -45856 2022-04-24 18:10:46
ACC00046 +3469 2022-04-28 10:39:14
ACC00014 -139 2022-02-08 19:43:38
